,timestamp,visitorid,event,itemid,transactionid
43416,1433268510501,213145,transaction,205139,4072.0
43418,1433267710542,771946,transaction,425468,7105.0
43422,1433267079777,138131,transaction,86844,5105.0
43429,1433267710435,771946,transaction,368025,7105.0
43467,1433268054794,167489,transaction,374554,10050.0
43541,1433285796517,286616,transaction,364449,2062.0
43630,1433289060430,286616,transaction,19142,10007.0
43706,1433287304778,69804,transaction,428257,119.0
43760,1433286374065,1161163,transaction,268335,939.0
44203,1433245861933,1170936,transaction,272563,8800.0
44637,1433262893341,893043,transaction,362606,6996.0
44694,1433264927247,859454,transaction,23626,2070.0
44992,1433294725661,1167802,transaction,266476,3327.0
44993,1433294725645,1167802,transaction,165589,3327.0
45006,1433294680187,1254716,transaction,433543,14609.0
45007,1433294680140,1254716,transaction,79801,14609.0
45158,1433295334737,1028073,transaction,89775,12150.0
45218,1433272604928,1149234,transaction,166703,7654.0
45305,1433271826969,213145,transaction,181227,12302.0
45358,1433273019480,286616,transaction,268081,8668.0
45409,1433273731898,1114514,transaction,441653,9667.0
45508,1433284885403,121322,transaction,465951,4084.0
45846,1433279005631,286616,transaction,651,13087.0
45848,1433279005646,286616,transaction,331490,13087.0
45885,1433279891446,286616,transaction,435265,14154.0
45939,1433280283528,163561,transaction,41422,10529.0
46065,1433276020974,286616,transaction,151839,2150.0
46074,1433276068065,1201579,transaction,184086,15975.0
46110,1433275204826,760652,transaction,260609,589.0
46334,1433289877455,213145,transaction,445105,6789.0
46359,1433292686486,1161163,transaction,416012,2329.0
46495,1433258954508,213240,transaction,241274,4813.0
46498,1433260083023,12148,transaction,193554,5921.0
46499,1433260083023,12148,transaction,428040,5921.0
46549,1433260313767,1209965,transaction,216786,12031.0
46741,1433385522358,1202248,transaction,433441,2572.0
46803,1433385119450,266762,transaction,38932,5941.0
46909,1433382787152,438441,transaction,204494,2787.0
46989,1433385791314,268428,transaction,192288,14644.0
46993,1433382817396,163561,transaction,143643,10955.0
47024,1433350684460,163561,transaction,379390,3662.0
47026,1433350684460,163561,transaction,293038,3662.0
47071,1433350379996,1339801,transaction,465943,6395.0
47198,1433350177868,1093035,transaction,424421,83.0
47218,1433351665074,468154,transaction,111572,14820.0
47320,1433336137178,893113,transaction,273958,9541.0
47324,1433343743928,1196832,transaction,310702,15168.0
47596,1433381947115,892355,transaction,372188,12253.0
47649,1433378984879,310500,transaction,76447,17480.0
47654,1433380453488,438441,transaction,211561,5744.0
47898,1433373759676,438441,transaction,193205,17190.0
48096,1433355946214,1093035,transaction,379520,953.0
48258,1433354956431,933310,transaction,179494,2476.0
48428,1433334711914,759288,transaction,179290,1366.0
48452,1433317707722,943518,transaction,245449,12185.0
48983,1433392161836,1259098,transaction,461686,11502.0
49022,1433387792508,1072212,transaction,170262,2622.0
49033,1433391882550,974794,transaction,420960,10724.0
49208,1433390585021,42040,transaction,334477,723.0
49449,1433360899795,1100390,transaction,80858,2459.0
49553,1433365662375,438441,transaction,390379,4110.0
49672,1433367897382,946607,transaction,406543,16000.0
49738,1433368316186,438441,transaction,446852,10501.0
49753,1433368033179,1093035,transaction,260256,6086.0
49760,1433365411517,566009,transaction,187719,14366.0
49892,1433395383765,677741,transaction,291217,3338.0
49937,1433395937414,403341,transaction,173956,7473.0
50032,1433393500705,729155,transaction,269085,15520.0
50076,1433346827494,57905,transaction,36868,7360.0
50123,1433347285690,1093035,transaction,357585,6943.0
50196,1433345981116,1093035,transaction,335331,9347.0
50299,1433347482555,57905,transaction,138196,12578.0
50338,1433346827493,57905,transaction,338395,7360.0
50391,1433358138781,438441,transaction,108452,4533.0
50633,1433358559288,438441,transaction,272318,2623.0
50634,1433358559288,438441,transaction,342084,2623.0
50645,1433359298046,438441,transaction,215868,9629.0
50835,1433385582146,438441,transaction,4001,4958.0
50940,1433386469656,983395,transaction,384453,10539.0
51004,1433352258779,907091,transaction,49754,14427.0
51012,1433353069699,1029499,transaction,242521,4487.0
51140,1433350754495,85734,transaction,444763,3566.0
51177,1433353145817,163561,transaction,277139,16635.0
51528,1433344401899,149194,transaction,143621,3203.0
51604,1433347477385,1090857,transaction,401682,10941.0
51609,1433347285674,1093035,transaction,260256,6943.0
51709,1433346603608,264398,transaction,430240,1352.0
51797,1433394153568,523878,transaction,127969,5307.0
52410,1433311756948,1308455,transaction,256721,1131.0
52454,1433317707909,943518,transaction,203964,12185.0
52497,1433315707083,1137704,transaction,43090,17279.0
52516,1433312355633,973908,transaction,80858,8499.0
52620,1433370989122,1093035,transaction,336393,11840.0
52721,1433370388230,438441,transaction,259467,12667.0
52787,1433370729560,438441,transaction,225877,13708.0
52810,1433371232575,255393,transaction,146735,12843.0
52816,1433372542244,316213,transaction,90897,16715.0
53150,1433354760084,940689,transaction,19750,14544.0
53176,1433353471177,57905,transaction,341009,8004.0
53242,1433353341021,917293,transaction,290509,332.0
53248,1433353255101,499833,transaction,152236,7919.0
53412,1433355089786,749201,transaction,379953,15958.0
53417,1433365637775,338801,transaction,449023,1843.0
53570,1433365582638,949454,transaction,109616,7023.0
53617,1433368509996,2019,transaction,393144,4700.0
53618,1433365582622,949454,transaction,357788,7023.0
53646,1433368303450,321452,transaction,374825,10185.0
53696,1433368510965,2019,transaction,445559,4700.0
53727,1433382332197,228703,transaction,81705,17224.0
53759,1433379691317,438441,transaction,58233,7719.0
53816,1433378337295,1362413,transaction,12609,12747.0
53943,1433377677478,438441,transaction,160272,8568.0
53980,1433380208307,438441,transaction,456874,6423.0
54034,1433362000052,740324,transaction,162556,9656.0
54342,1433358559288,438441,transaction,331552,2623.0
54398,1433360104831,163561,transaction,143418,14693.0
54488,1433358778909,1363181,transaction,152249,15913.0
54496,1433358004480,163561,transaction,279618,4538.0
54512,1433358647635,1002060,transaction,427952,1907.0
54559,1433358138781,438441,transaction,322957,4533.0
54655,1433364136734,156973,transaction,197394,16029.0
54857,1433350256277,163561,transaction,324462,12837.0
54914,1433352199435,849034,transaction,370745,15726.0
54923,1433352048433,1260481,transaction,359344,17548.0
54960,1433350966464,654148,transaction,216305,11801.0
55096,1433351124420,50921,transaction,448481,7534.0
55481,1433393626284,1354658,transaction,245409,10664.0
55584,1433394145526,53181,transaction,239968,1549.0
55759,1433376411784,438441,transaction,260256,14729.0
55924,1433354956431,933310,transaction,247307,2476.0
55994,1433354007678,57905,transaction,62275,15753.0
56047,1433355202913,163049,transaction,38965,862.0
56109,1433356853538,256505,transaction,373360,13896.0
56172,1433354691025,207917,transaction,449489,4206.0
56226,1433353785143,163561,transaction,432925,13370.0
56244,1433354549857,556967,transaction,151855,2.0
56257,1433353220083,1029499,transaction,242521,2419.0
56267,1433334711914,759288,transaction,15380,1366.0
56436,1433311440957,91370,transaction,171143,3286.0
56514,1433315707083,1137704,transaction,214113,17279.0
56559,1433370057771,40175,transaction,97750,4903.0
56606,1433372182248,1093035,transaction,412096,5830.0
56641,1433371173188,1066293,transaction,76499,11598.0
56751,1433370658174,1093035,transaction,127415,6154.0
56926,1433385990499,438441,transaction,283115,13497.0
56954,1433386856368,849908,transaction,36904,17378.0
57044,1433383884921,123031,transaction,179601,2683.0
57074,1433382823722,411703,transaction,162474,15027.0
57275,1433358317713,147954,transaction,1891,3944.0
57412,1433358559288,438441,transaction,232413,2623.0
57429,1433358706516,961411,transaction,253156,6323.0
57643,1433367324610,57905,transaction,386480,16910.0
57657,1433365582622,949454,transaction,82232,7023.0
57795,1433388451581,775282,transaction,89044,4107.0
58192,1433348593875,1093035,transaction,2270,9512.0
58423,1433381182465,777788,transaction,216266,2846.0
58596,1433384554561,709126,transaction,188148,10780.0
58689,1433385197559,163561,transaction,206925,3038.0
59040,1433351250770,1267997,transaction,358391,11723.0
59515,1433378560951,1362413,transaction,12609,15968.0
59532,1433379691348,438441,transaction,307981,7719.0
59536,1433379818886,693104,transaction,207749,16627.0
59699,1433377677494,438441,transaction,119736,8568.0
59905,1433376411784,438441,transaction,297292,14729.0
59911,1433374256047,747091,transaction,453646,1275.0
59988,1433355428735,985901,transaction,58863,4960.0
59998,1433356273462,85734,transaction,418746,9913.0
60247,1433354007616,57905,transaction,178554,15753.0
60273,1433354586426,311402,transaction,208270,1937.0
60274,1433353844214,57905,transaction,62275,13527.0
60414,1433334711914,759288,transaction,52776,1366.0
60552,1433313236007,424643,transaction,309005,10271.0
60572,1433372542307,316213,transaction,96375,16715.0
61065,1433388826339,576405,transaction,76426,4745.0
61159,1433362562088,913490,transaction,276155,15139.0
61195,1433362522513,580612,transaction,248566,1132.0
61328,1433363083970,379864,transaction,168952,11008.0
61448,1433365582606,949454,transaction,253549,7023.0
61525,1433368033163,1093035,transaction,196177,6086.0
61583,1433365662374,438441,transaction,372206,4110.0
61945,1433346255930,57905,transaction,267416,9283.0
62828,1433352873012,1093035,transaction,147555,10762.0
62881,1433350460815,57905,transaction,459583,10223.0
62949,1433350935563,1093035,transaction,126929,13727.0
63020,1433349432638,106733,transaction,46644,9625.0
63053,1433352559915,100840,transaction,187913,15150.0
63210,1433338781426,50921,transaction,448481,10267.0
63244,1433341095465,789844,transaction,107352,5029.0
63316,1433383213526,892355,transaction,433169,4304.0
63578,1433384071480,105033,transaction,185896,10805.0
63659,1433374255954,747091,transaction,390988,1275.0
63795,1433372947780,666908,transaction,12885,14573.0
63814,1433376426997,1342737,transaction,390591,5820.0
63851,1433377118313,552165,transaction,409804,81.0
64040,1433354281494,273431,transaction,411886,9591.0
64186,1433353844167,57905,transaction,178554,13527.0
64219,1433353604473,251892,transaction,143643,10092.0
64360,1433320483351,747310,transaction,113952,14296.0
64487,1433370989122,1093035,transaction,456056,11840.0
64523,1433371661197,542183,transaction,404369,1520.0
64648,1433368865898,596234,transaction,461891,4708.0
64822,1433392435845,295588,transaction,437293,6111.0
64853,1433395787671,547933,transaction,334094,16404.0
65269,1433362525469,983850,transaction,242245,7827.0
65409,1433367073669,438441,transaction,403969,2517.0
65410,1433367073607,438441,transaction,97132,2517.0
65429,1433367158720,859783,transaction,138290,2795.0
65472,1433368316186,438441,transaction,87069,10501.0
65512,1433364775188,1244048,transaction,144507,15194.0
65777,1433379282477,438441,transaction,398907,9636.0
65788,1433382691494,500412,transaction,161354,9463.0
